Service_Category,Material_Shape,Is_Fragile,Length_cm,Width_cm,Height_cm,Volume_cm3,Actual_Weight_kg,Density,Target_Divisor
Painting,Cylindrical,0,31.0,23.2,41.8,30062.56,17.2,0.000572,4500
Painting,Cylindrical,0,34.1,36.0,35.5,43579.8,16.5,0.000379,4500
Solar Services,Box,1,154.0,88.0,7.1,96219.2,18.2,0.000189,3500
Painting,Cylindrical,0,22.3,28.3,40.1,25306.71,25.9,0.001023,4500
Painting,Cylindrical,0,38.1,20.9,45.7,36390.45,22.8,0.000627,4500
Painting,Cylindrical,0,37.7,34.1,39.8,51165.69,11.1,0.000217,4500
Solar Services,Box,1,157.7,97.4,6.9,105983.86,22.4,0.000211,3500
Interiors,Box,0,130.0,96.4,87.1,1091537.2,43.4,4e-05,5000
Solar Services,Box,1,152.3,91.9,9.8,137164.43,30.0,0.000219,3500
Solar Services,Box,1,199.8,105.3,6.1,128337.53,30.0,0.000234,3500
Painting,Cylindrical,0,33.3,27.8,42.1,38973.65,22.9,0.000588,4500
Interiors,Box,0,123.3,56.3,92.7,643503.93,37.3,5.8e-05,5000
Painting,Cylindrical,0,26.0,21.2,47.1,25961.52,13.9,0.000535,4500
Solar Services,Box,1,187.9,85.9,6.8,109756.15,22.7,0.000207,3500
Painting,Cylindrical,0,27.1,28.2,33.0,25219.26,23.4,0.000928,4500
Painting,Cylindrical,0,26.0,28.2,46.8,34313.76,19.0,0.000554,4500
Construction,Irregular,0,87.9,52.8,36.5,169400.88,66.3,0.000391,4500
Painting,Cylindrical,0,26.0,39.2,36.6,37302.72,11.5,0.000308,4500
Interiors,Wrapped,1,126.7,115.7,5.7,83557.38,17.0,0.000203,3500
Interiors,Box,0,162.0,72.4,67.7,794039.76,54.7,6.9e-05,5000
Construction,Irregular,0,37.3,70.9,49.3,130377.3,92.0,0.000706,4500
Painting,Cylindrical,0,35.9,31.0,37.7,41956.33,27.2,0.000648,4500
Painting,Cylindrical,0,34.8,36.9,36.4,46741.97,17.3,0.00037,4500
Interiors,Wrapped,1,140.8,125.4,8.5,150078.72,34.1,0.000227,3500
Painting,Cylindrical,0,40.0,20.1,47.1,37868.4,23.6,0.000623,4500
Interiors,Wrapped,1,136.5,129.0,15.8,278214.3,18.7,6.7e-05,3500
Solar Services,Box,1,211.3,89.7,8.2,155419.6,21.2,0.000136,3500
Interiors,Wrapped,1,55.2,108.4,6.3,37697.18,23.7,0.000629,3500
Solar Services,Box,1,152.8,89.1,9.2,125253.22,23.7,0.000189,3500
Interiors,Box,0,164.7,72.6,96.1,1149088.84,52.5,4.6e-05,5000
Construction,Irregular,0,75.1,90.5,22.7,154281.68,45.9,0.000298,4500
Painting,Cylindrical,0,36.8,20.8,30.2,23116.29,19.4,0.000839,4500
Solar Services,Box,1,196.2,88.9,8.6,150002.75,26.5,0.000177,3500
Solar Services,Box,1,217.1,109.8,5.1,121571.66,26.1,0.000215,3500
Solar Services,Box,1,196.4,81.0,9.4,149538.96,18.7,0.000125,3500
Solar Services,Box,1,154.6,102.9,8.0,127266.72,18.2,0.000143,3500
Solar Services,Box,1,205.6,94.7,9.3,181073.98,22.9,0.000126,3500
Interiors,Box,0,136.7,97.1,71.3,946405.54,45.0,4.8e-05,5000
Painting,Cylindrical,0,29.4,39.6,33.1,38536.34,10.2,0.000265,4500
Construction,Irregular,0,74.3,40.1,45.8,136457.89,65.9,0.000483,4500
Interiors,Wrapped,1,149.0,68.2,16.1,163604.98,18.8,0.000115,3500
Solar Services,Box,1,152.6,109.2,6.0,99983.52,20.6,0.000206,3500
Interiors,Wrapped,1,55.7,99.0,11.6,63965.88,22.6,0.000353,3500
Painting,Cylindrical,0,29.6,32.8,30.3,29417.66,24.5,0.000833,4500
Construction,Irregular,0,63.2,92.6,22.1,129336.27,63.2,0.000489,4500
Solar Services,Box,1,176.8,95.6,5.8,98032.06,19.1,0.000195,3500
Interiors,Wrapped,1,109.3,61.0,5.2,34669.96,31.3,0.000903,3500
Interiors,Wrapped,1,128.3,140.2,5.2,93535.83,32.9,0.000352,3500
Solar Services,Box,1,153.4,102.7,8.4,132335.11,26.4,0.000199,3500
Solar Services,Box,1,183.4,103.3,7.7,145878.19,23.9,0.000164,3500
Interiors,Wrapped,1,121.4,63.0,7.1,54302.22,13.2,0.000243,3500
Painting,Cylindrical,0,32.6,36.5,38.7,46049.13,11.1,0.000241,4500
Construction,Irregular,0,35.8,98.0,47.7,167350.68,49.4,0.000295,4500
Solar Services,Box,1,200.5,84.2,5.2,87786.92,25.2,0.000287,3500
Construction,Irregular,0,61.2,51.6,33.5,105790.32,57.6,0.000544,4500
Interiors,Box,0,100.8,62.0,78.5,490593.6,32.7,6.7e-05,5000
Interiors,Wrapped,1,131.6,55.0,16.5,119427.0,35.6,0.000298,3500
Solar Services,Box,1,150.8,108.9,6.8,111670.42,25.1,0.000225,3500
Interiors,Box,0,103.8,82.8,68.8,591311.23,31.2,5.3e-05,5000
Solar Services,Box,1,216.6,88.2,5.0,95520.6,25.7,0.000269,3500
Interiors,Box,0,69.0,89.1,88.2,542244.78,34.2,6.3e-05,5000
Interiors,Box,0,86.1,72.2,63.4,394121.03,23.1,5.9e-05,5000
Solar Services,Box,1,218.7,80.7,10.0,176490.9,18.3,0.000104,3500
Solar Services,Box,1,198.4,86.9,8.1,139651.78,25.2,0.00018,3500
Interiors,Box,0,133.3,69.1,72.2,665036.37,36.8,5.5e-05,5000
Construction,Irregular,0,69.1,87.3,28.4,171321.01,58.5,0.000341,4500
Solar Services,Box,1,180.8,94.4,4.7,80217.34,29.8,0.000371,3500
Interiors,Wrapped,1,82.6,131.0,17.5,189360.5,16.5,8.7e-05,3500
Interiors,Box,0,54.0,57.0,51.6,158824.8,42.5,0.000268,5000
Solar Services,Box,1,197.9,94.1,9.3,173188.23,22.4,0.000129,3500
Construction,Irregular,0,69.8,82.8,25.1,145063.94,57.5,0.000396,4500
Painting,Cylindrical,0,37.9,22.3,30.4,25693.17,28.3,0.001101,4500
Interiors,Wrapped,1,136.3,64.0,15.8,137826.56,13.5,9.8e-05,3500
Painting,Cylindrical,0,22.9,33.3,34.5,26308.66,19.4,0.000737,4500
Interiors,Wrapped,1,61.5,141.4,15.5,134789.55,12.1,9e-05,3500
Painting,Cylindrical,0,25.0,38.1,39.1,37242.75,20.7,0.000556,4500
Construction,Irregular,0,90.4,97.4,48.0,422638.08,93.9,0.000222,4500
Painting,Cylindrical,0,35.7,32.3,39.9,46009.09,23.0,0.0005,4500
Interiors,Wrapped,1,69.1,132.5,10.4,95219.8,35.9,0.000377,3500
Construction,Irregular,0,85.5,91.6,40.7,318754.26,44.9,0.000141,4500
Interiors,Wrapped,1,45.8,60.3,8.1,22370.09,35.3,0.001578,3500
Painting,Cylindrical,0,27.2,26.6,33.0,23876.16,23.5,0.000984,4500
Interiors,Box,0,128.8,58.7,67.4,509581.74,47.9,9.4e-05,5000
Construction,Irregular,0,85.4,46.9,25.4,101733.6,78.5,0.000772,4500
Solar Services,Box,1,210.6,88.9,8.0,149778.72,19.3,0.000129,3500
Interiors,Wrapped,1,126.8,108.6,10.8,148721.18,12.7,8.5e-05,3500
Painting,Cylindrical,0,20.6,20.7,37.5,15990.75,20.9,0.001307,4500
Construction,Irregular,0,55.4,36.9,24.7,50493.22,53.6,0.001062,4500
Construction,Irregular,0,65.8,77.0,32.0,162131.2,79.4,0.00049,4500
Construction,Irregular,0,56.2,79.0,27.2,120762.56,81.6,0.000676,4500
Solar Services,Box,1,178.2,87.1,7.2,111752.78,19.8,0.000177,3500
Construction,Irregular,0,60.3,32.9,49.4,98003.18,70.2,0.000716,4500
Painting,Cylindrical,0,27.1,26.1,38.0,26877.78,11.2,0.000417,4500
Painting,Cylindrical,0,30.3,28.3,32.3,27696.93,22.7,0.00082,4500
Solar Services,Box,1,200.1,95.7,4.1,78513.24,22.2,0.000283,3500
Interiors,Wrapped,1,47.2,58.8,12.1,33581.86,19.1,0.000569,3500
Painting,Cylindrical,0,31.1,30.3,37.7,35525.84,16.8,0.000473,4500
Interiors,Wrapped,1,139.2,42.8,12.8,76259.33,34.6,0.000454,3500
Construction,Irregular,0,91.6,44.5,34.3,139813.66,49.4,0.000353,4500
Solar Services,Box,1,201.2,92.1,5.0,92652.6,27.4,0.000296,3500
Interiors,Box,0,65.5,70.6,98.9,457343.27,50.0,0.000109,5000
Interiors,Wrapped,1,109.6,130.2,19.8,282544.42,31.5,0.000111,3500
Construction,Irregular,0,45.2,90.5,37.2,152170.32,92.9,0.000611,4500
Interiors,Wrapped,1,104.2,146.4,6.4,97631.23,18.9,0.000194,3500
Painting,Cylindrical,0,39.5,23.7,46.6,43624.59,13.6,0.000312,4500
Interiors,Box,0,79.9,57.3,75.9,347490.69,18.6,5.4e-05,5000
Painting,Cylindrical,0,39.6,21.8,37.6,32459.33,23.5,0.000724,4500
Construction,Irregular,0,58.4,37.4,49.4,107897.5,94.1,0.000872,4500
Interiors,Wrapped,1,49.9,40.2,15.9,31895.08,10.0,0.000314,3500
Solar Services,Box,1,150.3,104.2,7.9,123723.95,19.6,0.000158,3500
Painting,Cylindrical,0,23.7,22.4,35.0,18580.8,22.4,0.001206,4500
Construction,Irregular,0,91.4,89.3,48.7,397490.37,55.8,0.00014,4500
Painting,Cylindrical,0,28.4,34.6,46.7,45889.29,20.7,0.000451,4500
Painting,Cylindrical,0,32.8,28.0,44.0,40409.6,12.6,0.000312,4500
Painting,Cylindrical,0,33.9,30.1,38.9,39693.17,27.7,0.000698,4500
Solar Services,Box,1,219.6,102.7,7.7,173657.48,22.6,0.00013,3500
Painting,Cylindrical,0,37.5,36.9,31.8,44003.25,15.4,0.00035,4500
Interiors,Box,0,115.0,66.6,65.0,497835.0,27.2,5.5e-05,5000
Interiors,Wrapped,1,129.3,48.8,9.2,58050.53,11.8,0.000203,3500
Construction,Irregular,0,80.1,61.2,36.3,177946.96,55.8,0.000314,4500
Painting,Cylindrical,0,21.2,36.5,35.3,27315.14,16.8,0.000615,4500
Interiors,Wrapped,1,100.6,73.1,20.0,147077.2,24.0,0.000163,3500
Painting,Cylindrical,0,32.0,33.9,47.5,51528.0,27.4,0.000532,4500
Interiors,Wrapped,1,106.5,73.8,13.9,109249.83,21.5,0.000197,3500
Solar Services,Box,1,202.7,86.3,5.4,94462.25,26.7,0.000283,3500
Solar Services,Box,1,168.1,86.6,8.3,120826.92,27.5,0.000228,3500
Construction,Irregular,0,46.3,64.7,46.4,138996.3,71.1,0.000512,4500
Interiors,Box,0,152.9,75.0,74.2,850888.5,24.5,2.9e-05,5000
Interiors,Box,0,155.0,76.8,51.1,608294.4,39.5,6.5e-05,5000
Interiors,Wrapped,1,121.9,110.7,14.7,198366.65,19.6,9.9e-05,3500
Painting,Cylindrical,0,30.8,29.4,32.1,29067.19,17.8,0.000612,4500
Construction,Irregular,0,96.3,48.9,35.3,166230.17,67.4,0.000405,4500
Painting,Cylindrical,0,23.4,24.4,39.7,22667.11,15.2,0.000671,4500
Painting,Cylindrical,0,30.2,30.2,46.2,42136.25,24.2,0.000574,4500
Construction,Irregular,0,63.2,46.2,23.5,68616.24,89.4,0.001303,4500
Construction,Irregular,0,86.1,58.1,22.1,110553.26,84.4,0.000763,4500
Interiors,Wrapped,1,120.6,44.6,8.8,47333.09,15.0,0.000317,3500
Interiors,Box,0,145.6,74.9,66.2,721940.13,34.7,4.8e-05,5000
Interiors,Box,0,154.4,59.5,53.8,494249.84,29.5,6e-05,5000
Construction,Irregular,0,72.1,94.4,42.0,285862.08,51.7,0.000181,4500
Interiors,Box,0,107.0,77.1,85.0,701224.5,53.8,7.7e-05,5000
Construction,Irregular,0,87.5,75.3,42.1,277386.38,80.5,0.00029,4500
Solar Services,Box,1,152.4,94.7,6.9,99582.73,26.1,0.000262,3500
Interiors,Wrapped,1,140.9,89.5,19.0,239600.45,24.3,0.000101,3500
Construction,Irregular,0,82.3,83.5,50.0,343602.5,71.4,0.000208,4500
Construction,Irregular,0,83.4,33.7,32.3,90781.73,81.3,0.000896,4500
Construction,Irregular,0,75.6,69.7,47.1,248184.97,59.7,0.000241,4500
Interiors,Wrapped,1,123.2,85.1,8.2,85971.42,20.0,0.000233,3500
Construction,Irregular,0,30.7,90.5,44.2,122803.07,55.7,0.000454,4500
Construction,Irregular,0,77.7,82.4,21.2,135732.58,95.6,0.000704,4500
Interiors,Box,0,192.4,95.6,73.4,1350078.5,15.0,1.1e-05,5000
Interiors,Box,0,142.2,70.2,50.1,500120.24,51.8,0.000104,5000
Interiors,Wrapped,1,85.4,84.3,13.2,95029.7,26.7,0.000281,3500
Painting,Cylindrical,0,36.4,24.8,33.0,29789.76,16.4,0.000551,4500
Interiors,Box,0,79.1,98.7,96.7,754953.34,38.2,5.1e-05,5000
Painting,Cylindrical,0,28.3,25.6,47.1,34123.01,17.4,0.00051,4500
Interiors,Box,0,84.1,81.6,73.1,501653.14,43.0,8.6e-05,5000
Interiors,Box,0,117.7,72.9,92.4,792822.49,21.2,2.7e-05,5000
Painting,Cylindrical,0,25.2,27.3,40.9,28137.56,24.6,0.000874,4500
Construction,Irregular,0,40.3,46.0,48.2,89353.16,76.7,0.000858,4500
Interiors,Wrapped,1,73.5,96.9,18.2,129623.13,30.6,0.000236,3500
Solar Services,Box,1,176.5,85.2,4.1,61654.98,23.4,0.00038,3500
Interiors,Wrapped,1,129.4,122.2,13.2,208727.38,14.6,7e-05,3500
Solar Services,Box,1,179.8,96.5,7.3,126660.11,28.2,0.000223,3500
Solar Services,Box,1,196.2,107.0,6.6,138556.44,18.7,0.000135,3500
Construction,Irregular,0,30.8,84.1,29.4,76154.23,94.8,0.001245,4500
Construction,Irregular,0,65.8,49.8,21.9,71762.8,87.3,0.001217,4500
Interiors,Wrapped,1,44.8,80.2,7.7,27665.79,18.4,0.000665,3500
Interiors,Box,0,117.6,98.0,85.7,987675.36,21.6,2.2e-05,5000
Interiors,Box,0,192.6,99.0,80.8,1540645.92,44.8,2.9e-05,5000
Construction,Irregular,0,89.7,96.2,38.2,329633.15,40.1,0.000122,4500
Solar Services,Box,1,209.8,83.1,5.8,101119.4,20.0,0.000198,3500
Painting,Cylindrical,0,26.9,37.6,40.8,41266.75,23.0,0.000557,4500
Interiors,Box,0,97.6,90.0,98.2,862588.8,40.5,4.7e-05,5000
Construction,Irregular,0,72.3,69.0,39.0,194559.3,79.2,0.000407,4500
Painting,Cylindrical,0,33.9,22.6,40.5,31028.67,21.4,0.00069,4500
Solar Services,Box,1,158.4,108.7,7.7,132579.22,29.3,0.000221,3500
Solar Services,Box,1,154.1,104.5,7.0,112724.15,19.8,0.000176,3500
Interiors,Wrapped,1,45.5,122.5,19.0,105901.25,12.8,0.000121,3500
Construction,Irregular,0,42.3,75.4,46.6,148626.97,51.8,0.000349,4500
Interiors,Wrapped,1,52.0,60.1,17.1,53440.92,10.8,0.000202,3500
Solar Services,Box,1,175.8,108.1,7.5,142529.85,21.0,0.000147,3500
Construction,Irregular,0,88.3,92.6,39.3,321339.59,52.3,0.000163,4500
Construction,Irregular,0,87.5,39.7,21.2,73643.5,43.3,0.000588,4500
Solar Services,Box,1,198.5,87.9,5.4,94220.01,25.3,0.000269,3500
Interiors,Box,0,199.4,66.2,69.9,922699.57,37.5,4.1e-05,5000
Interiors,Wrapped,1,86.2,44.0,16.6,62960.48,18.9,0.0003,3500
Solar Services,Box,1,171.1,89.7,5.7,87481.72,18.2,0.000208,3500
Painting,Cylindrical,0,32.5,34.5,30.4,34086.0,24.1,0.000707,4500
Interiors,Box,0,188.0,82.0,59.6,918793.6,18.8,2e-05,5000
Solar Services,Box,1,166.2,92.5,7.3,112226.55,25.7,0.000229,3500
Solar Services,Box,1,173.1,108.9,7.1,133839.19,19.9,0.000149,3500
Construction,Irregular,0,62.8,51.0,35.7,114339.96,87.6,0.000766,4500
Construction,Irregular,0,82.1,42.6,49.3,172424.78,88.7,0.000514,4500
Interiors,Wrapped,1,45.5,147.0,18.8,125743.8,15.5,0.000123,3500
Painting,Cylindrical,0,25.8,36.4,47.2,44326.46,29.3,0.000661,4500
Solar Services,Box,1,157.5,86.1,8.8,119334.6,27.9,0.000234,3500
Painting,Cylindrical,0,27.6,32.8,31.6,28606.85,16.6,0.00058,4500
Interiors,Wrapped,1,60.4,105.4,16.0,101858.56,33.6,0.00033,3500
Construction,Irregular,0,83.0,68.9,36.2,207016.94,57.5,0.000278,4500
Interiors,Box,0,55.6,63.9,70.1,249054.08,15.8,6.3e-05,5000
Painting,Cylindrical,0,38.1,20.1,42.5,32546.93,16.2,0.000498,4500
Interiors,Wrapped,1,76.5,49.1,10.2,38312.73,34.1,0.00089,3500
Construction,Irregular,0,92.9,66.5,23.6,145797.26,96.8,0.000664,4500
Interiors,Box,0,59.9,77.9,53.6,250108.86,24.2,9.7e-05,5000
Construction,Irregular,0,51.1,41.3,31.9,67322.72,62.9,0.000934,4500
Interiors,Box,0,191.8,56.1,54.0,581038.92,23.2,4e-05,5000
Construction,Irregular,0,78.7,71.9,47.9,271043.59,93.6,0.000345,4500
Interiors,Box,0,190.5,98.8,82.5,1552765.5,21.5,1.4e-05,5000
Construction,Irregular,0,39.2,33.3,46.1,60177.1,78.2,0.001299,4500
Construction,Irregular,0,88.5,32.4,38.0,108961.2,79.4,0.000729,4500
Solar Services,Box,1,190.4,94.6,9.9,178317.22,19.7,0.00011,3500
Construction,Irregular,0,36.2,58.2,40.5,85327.02,56.4,0.000661,4500
Painting,Cylindrical,0,34.5,31.5,32.3,35102.02,16.5,0.00047,4500
Painting,Cylindrical,0,22.1,40.0,34.8,30763.2,27.0,0.000878,4500
Painting,Cylindrical,0,37.6,31.3,48.9,57549.43,21.5,0.000374,4500
Solar Services,Box,1,207.1,100.3,4.4,91397.37,21.6,0.000236,3500
Interiors,Wrapped,1,53.6,145.3,6.3,49064.9,30.2,0.000616,3500
Painting,Cylindrical,0,23.8,23.0,38.2,20910.68,22.2,0.001062,4500
Interiors,Wrapped,1,75.9,86.7,5.1,33560.7,27.4,0.000816,3500
Solar Services,Box,1,184.4,108.7,9.6,192425.09,20.6,0.000107,3500
Construction,Irregular,0,93.8,85.6,28.0,224819.84,51.7,0.00023,4500
Construction,Irregular,0,95.0,96.9,27.7,254992.35,83.8,0.000329,4500
Interiors,Wrapped,1,81.8,137.1,19.4,217566.73,35.0,0.000161,3500
Construction,Irregular,0,71.8,49.7,43.8,156298.55,44.4,0.000284,4500
Construction,Irregular,0,93.1,35.7,42.4,140923.61,58.9,0.000418,4500
Interiors,Box,0,147.4,82.9,89.0,1087531.94,19.0,1.7e-05,5000
Interiors,Box,0,84.3,67.2,60.8,344429.57,33.9,9.8e-05,5000
Interiors,Wrapped,1,109.9,148.5,16.1,262754.42,13.3,5.1e-05,3500
Painting,Cylindrical,0,22.8,33.6,33.9,25970.11,28.5,0.001097,4500
Interiors,Wrapped,1,55.5,64.3,15.8,56384.67,33.5,0.000594,3500
Interiors,Wrapped,1,69.9,57.2,19.1,76367.15,30.9,0.000405,3500
Interiors,Wrapped,1,61.4,92.7,12.6,71716.43,17.8,0.000248,3500
Painting,Cylindrical,0,28.7,28.3,39.5,32082.3,23.2,0.000723,4500
Solar Services,Box,1,219.5,84.7,5.5,102254.08,21.1,0.000206,3500
Construction,Irregular,0,89.3,79.0,20.7,146032.29,85.5,0.000585,4500
Interiors,Box,0,144.0,62.9,56.0,507225.6,35.2,6.9e-05,5000
Interiors,Box,0,98.8,73.8,82.9,604460.38,56.7,9.4e-05,5000
Painting,Cylindrical,0,25.9,35.2,31.3,28535.58,28.8,0.001009,4500
Painting,Cylindrical,0,29.3,26.1,45.5,34795.22,15.2,0.000437,4500
Solar Services,Box,1,217.0,86.9,7.6,143315.48,24.5,0.000171,3500
Construction,Irregular,0,39.9,91.1,39.2,142487.69,88.0,0.000618,4500
Interiors,Box,0,190.9,83.5,90.9,1448959.64,51.6,3.6e-05,5000
Construction,Irregular,0,75.3,59.5,39.7,177869.89,82.9,0.000466,4500
Interiors,Box,0,117.5,98.9,59.1,686786.33,42.9,6.2e-05,5000
Interiors,Box,0,80.0,98.7,95.5,754068.0,59.9,7.9e-05,5000
Construction,Irregular,0,37.4,76.5,45.7,130752.27,81.8,0.000626,4500
Painting,Cylindrical,0,23.0,25.5,48.3,28327.95,17.3,0.000611,4500
Construction,Irregular,0,75.6,92.9,37.5,263371.5,67.1,0.000255,4500
Painting,Cylindrical,0,21.4,33.2,48.1,34174.09,23.6,0.000691,4500
Solar Services,Box,1,163.7,95.3,9.5,148205.79,20.9,0.000141,3500
Construction,Irregular,0,83.1,66.5,24.0,132627.6,81.3,0.000613,4500
Interiors,Wrapped,1,44.8,126.8,15.5,88049.92,22.7,0.000258,3500
Construction,Irregular,0,69.8,74.1,35.6,184129.61,95.5,0.000519,4500
Construction,Irregular,0,34.0,37.9,47.5,61208.5,64.8,0.001059,4500
Interiors,Wrapped,1,121.1,142.3,10.5,180941.57,12.6,7e-05,3500
Construction,Irregular,0,80.8,79.6,30.5,196166.24,92.0,0.000469,4500
Interiors,Box,0,63.7,77.1,82.0,402724.14,39.4,9.8e-05,5000
Solar Services,Box,1,150.9,82.4,6.9,85795.7,26.4,0.000308,3500
Construction,Irregular,0,32.5,84.0,34.1,93093.0,84.2,0.000904,4500
Interiors,Wrapped,1,80.1,146.0,15.4,180096.84,28.8,0.00016,3500
Painting,Cylindrical,0,26.0,24.7,35.6,22862.32,26.1,0.001142,4500
Construction,Irregular,0,81.8,53.4,27.1,118376.05,76.6,0.000647,4500
Interiors,Wrapped,1,106.9,82.6,13.0,114789.22,33.3,0.00029,3500
Painting,Cylindrical,0,25.3,29.6,48.6,36395.57,25.7,0.000706,4500
Solar Services,Box,1,150.7,88.0,10.0,132616.0,29.6,0.000223,3500
Interiors,Wrapped,1,137.8,83.1,15.2,174057.94,25.4,0.000146,3500
Painting,Cylindrical,0,27.4,38.2,35.0,36633.8,12.0,0.000328,4500
Interiors,Box,0,166.4,85.5,62.4,887777.28,26.7,3e-05,5000
Painting,Cylindrical,0,35.5,23.5,41.1,34287.68,15.1,0.00044,4500
Painting,Cylindrical,0,26.9,27.2,49.0,35852.32,20.4,0.000569,4500
Interiors,Box,0,64.3,70.5,66.8,302814.42,42.9,0.000142,5000
Construction,Irregular,0,67.5,79.7,43.0,231329.25,96.9,0.000419,4500
Interiors,Wrapped,1,79.9,82.5,9.3,61303.28,17.1,0.000279,3500
Interiors,Wrapped,1,80.3,91.8,11.2,82561.25,39.5,0.000478,3500
Painting,Cylindrical,0,28.9,22.3,45.1,29065.6,23.5,0.000809,4500
Solar Services,Box,1,193.5,106.1,5.3,108810.85,19.9,0.000183,3500
Interiors,Wrapped,1,79.5,67.6,12.8,68789.76,34.3,0.000499,3500
Painting,Cylindrical,0,39.7,36.0,32.7,46734.84,13.6,0.000291,4500
Construction,Irregular,0,69.6,45.2,46.7,146914.46,91.6,0.000623,4500
Solar Services,Box,1,150.4,82.6,4.4,54661.38,18.5,0.000338,3500
Interiors,Wrapped,1,116.3,48.9,5.6,31847.59,39.3,0.001234,3500
Painting,Cylindrical,0,38.2,20.2,44.3,34183.65,10.4,0.000304,4500
Interiors,Wrapped,1,134.7,134.7,7.7,139709.49,30.5,0.000218,3500
Painting,Cylindrical,0,23.4,23.5,34.7,19081.53,25.3,0.001326,4500
Interiors,Wrapped,1,117.0,72.5,7.8,66163.5,12.1,0.000183,3500
Interiors,Box,0,175.2,69.6,58.1,708466.75,48.0,6.8e-05,5000
Construction,Irregular,0,41.2,79.5,45.4,148703.16,59.6,0.000401,4500
Interiors,Wrapped,1,137.5,141.6,7.3,142131.0,15.2,0.000107,3500
Interiors,Box,0,151.6,55.9,65.6,555923.26,16.2,2.9e-05,5000
Construction,Irregular,0,72.3,88.0,20.4,129792.96,82.0,0.000632,4500
Construction,Irregular,0,44.4,79.1,48.7,171036.35,52.5,0.000307,4500
Solar Services,Box,1,212.4,107.5,6.1,139281.3,29.2,0.00021,3500
Construction,Irregular,0,64.0,64.6,43.1,178192.64,58.7,0.000329,4500
Painting,Cylindrical,0,20.9,31.0,31.6,20473.64,14.2,0.000694,4500
Interiors,Wrapped,1,116.2,81.9,18.4,175108.75,23.4,0.000134,3500
Solar Services,Box,1,212.4,109.2,4.9,113650.99,26.6,0.000234,3500
Painting,Cylindrical,0,30.8,38.6,41.9,49814.07,23.0,0.000462,4500
Painting,Cylindrical,0,32.2,29.9,30.4,29268.51,14.5,0.000495,4500
Painting,Cylindrical,0,39.4,35.4,46.4,64716.86,24.6,0.00038,4500
Construction,Irregular,0,88.4,50.9,35.7,160634.29,91.0,0.000567,4500
Interiors,Box,0,70.7,66.8,50.6,238971.66,28.2,0.000118,5000
Solar Services,Box,1,170.7,85.4,6.5,94755.57,22.5,0.000237,3500
Painting,Cylindrical,0,26.3,36.0,43.9,41564.52,13.4,0.000322,4500
Interiors,Box,0,170.6,95.3,78.7,1279518.77,23.0,1.8e-05,5000
Interiors,Wrapped,1,42.4,93.4,5.9,23364.94,22.6,0.000967,3500
Interiors,Wrapped,1,112.3,106.2,6.5,77520.69,25.4,0.000328,3500
Painting,Cylindrical,0,27.8,39.4,42.6,46660.63,22.3,0.000478,4500
Painting,Cylindrical,0,34.3,35.4,44.7,54275.63,23.3,0.000429,4500
Solar Services,Box,1,159.3,100.3,5.0,79888.95,23.5,0.000294,3500
Solar Services,Box,1,165.2,109.9,8.7,157952.68,21.8,0.000138,3500
Interiors,Box,0,87.1,82.4,58.0,416268.32,43.1,0.000104,5000
Painting,Cylindrical,0,34.0,35.3,48.2,57849.64,15.9,0.000275,4500
Painting,Cylindrical,0,24.2,24.8,46.9,28147.5,26.5,0.000941,4500
Construction,Irregular,0,35.4,55.1,49.7,96941.84,46.8,0.000483,4500
Painting,Cylindrical,0,23.3,27.3,35.4,22517.59,29.2,0.001297,4500
Solar Services,Box,1,219.8,86.2,8.0,151574.08,20.5,0.000135,3500
Interiors,Box,0,154.3,62.4,83.7,805890.38,36.4,4.5e-05,5000
Construction,Irregular,0,37.5,51.1,30.3,58062.38,69.5,0.001197,4500
Painting,Cylindrical,0,33.5,27.1,43.0,39037.55,13.8,0.000354,4500
Interiors,Wrapped,1,111.1,112.5,16.2,202479.75,13.6,6.7e-05,3500
Construction,Irregular,0,90.1,59.6,21.4,114917.14,78.0,0.000679,4500
Painting,Cylindrical,0,38.3,32.1,45.5,55939.07,10.4,0.000186,4500
Solar Services,Box,1,193.2,104.1,6.7,134751.2,20.0,0.000148,3500
Painting,Cylindrical,0,25.8,29.1,46.8,35136.5,10.8,0.000307,4500
Solar Services,Box,1,155.0,98.3,6.6,100560.9,21.9,0.000218,3500
Interiors,Wrapped,1,105.0,144.8,16.1,244784.4,14.2,5.8e-05,3500
Solar Services,Box,1,215.0,84.6,8.6,156425.4,23.0,0.000147,3500
Interiors,Wrapped,1,119.9,75.6,10.4,94270.18,27.4,0.000291,3500
Interiors,Box,0,197.3,53.7,92.9,984276.43,15.6,1.6e-05,5000
Solar Services,Box,1,185.6,95.0,7.2,126950.4,19.7,0.000155,3500
Interiors,Wrapped,1,111.6,125.4,6.9,96563.02,20.1,0.000208,3500
Interiors,Box,0,128.5,60.6,61.3,477349.23,54.4,0.000114,5000
Interiors,Box,0,69.6,86.2,92.6,555555.55,25.7,4.6e-05,5000
Interiors,Box,0,135.9,60.5,89.9,739153.31,21.5,2.9e-05,5000
Solar Services,Box,1,168.2,97.5,9.2,150875.4,29.3,0.000194,3500
Interiors,Box,0,110.5,87.7,76.7,743288.2,32.8,4.4e-05,5000
Painting,Cylindrical,0,24.4,29.0,36.7,25968.92,11.1,0.000427,4500
Interiors,Wrapped,1,127.1,119.7,10.4,158224.25,29.0,0.000183,3500
